,CAC_pct,DAX_pct,FTSE_pct,Hang Seng_pct,NIFTY_pct,Nikkei_pct,Shanghai Composite_pct,CAC_shock,DAX_shock,FTSE_shock,Hang Seng_shock,NIFTY_shock,Nikkei_shock,Shanghai Composite_shock,Weighted_Global_Move,Weighted_Shock_Score,Global_Volatility_5d,Europe_vs_Asia
2015-07-22 00:00:00+00:00,-0.698502,-1.115568,-0.288717,-0.993916,1.219889,-1.19135,0.208326,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.03829299999999995,0.4,0.36162786597822594,-0.51166625
2015-07-23 00:00:00+00:00,-0.469983,-0.724958,-1.503897,0.459725,-0.50617,0.438384,2.431119,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01769467499999998,0.05,0.285247519784936,-1.6053771666666665
2015-07-24 00:00:00+00:00,0.082053,-0.074298,-0.18448,-1.064378,-0.794547,-0.674049,-1.285545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.811546925,0.0,0.36059420847372453,0.8957214166666667
2015-07-27 00:00:00+00:00,-0.577587,-1.430321,-1.12998,-3.09031,-1.884045,-0.946382,-8.483362,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-2.3535331000000004,0.75,1.0232648787485725,2.555062083333333
2015-07-28 00:00:00+00:00,-2.565761,-2.564892,-1.135288,0.624091,-0.287047,-0.104221,-1.679108,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.21221077500000002,0.05,0.9918932946028483,-1.72707575
2015-07-29 00:00:00+00:00,1.009005,1.062821,0.771698,0.471393,0.456397,-0.127801,3.444334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5674038,0.0,1.118676947907514,-0.11323941666666659
2015-07-30 00:00:00+00:00,0.806059,0.339536,1.154794,-0.493385,0.558206,1.083194,-2.20106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214072575,0.0,1.1470487687008586,1.0300575833333334
2015-07-31 00:00:00+00:00,0.577585,0.404044,0.571556,0.564532,1.318599,0.304101,-1.134449,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.738810425,0.4,1.2529136393222053,0.2545325833333334
2015-08-03 00:00:00+00:00,0.717141,0.460506,0.410861,-0.912716,0.11954,-0.180376,-1.114195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25878072499999993,0.0,0.4487236719428397,1.0514394166666667
2015-08-04 00:00:00+00:00,0.74588,1.191349,-0.114985,-0.021714,-0.30609,-0.135049,3.68875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07791142500000003,0.0,0.39618328764161,-0.1990595833333334
2015-08-05 00:00:00+00:00,-0.163653,0.107925,-0.029902,0.44268,0.599394,0.456625,-1.649705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35568180000000005,0.0,0.3663590042363018,0.00920816666666666
2015-08-06 00:00:00+00:00,1.654686,1.573223,0.984055,-0.566533,0.2416,0.244391,-0.894121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04853317500000004,0.0,0.3750315445529604,1.64765375
2015-08-07 00:00:00+00:00,-0.088904,-0.440004,-0.078488,0.726931,-0.28003,0.29094,2.257685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24544544999999998,0.0,0.23355572721185136,-0.9513468333333333
2015-08-10 00:00:00+00:00,-0.719551,-0.813714,-0.423887,-0.127692,-0.455363,0.405938,4.919868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02690532500000001,0.0,0.14322657399398175,-1.8380717500000001
2015-08-11 00:00:00+00:00,0.78879,0.991662,0.263455,-0.093422,-0.741883,-0.422609,-0.012908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33113250000000005,0.0,0.26249584943433724,0.9990078333333333
2015-08-12 00:00:00+00:00,-1.855106,-2.681049,-1.064401,-2.376465,-1.334138,-1.58286,-1.05878,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.7035866249999998,0.5750000000000001,0.7886274079906687,-0.27879125000000005
2015-08-13 00:00:00+00:00,-3.404562,-3.267677,-1.399952,0.429759,0.076645,0.994378,1.755796,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.159728625,0.1,0.8038416981733676,-3.504874833333333
2015-08-14 00:00:00+00:00,1.246996,0.824007,-0.044138,-0.115624,1.947141,-0.369505,0.272573,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.751940275,0.4,0.9169515663873365,0.24197541666666667
2015-08-17 00:00:00+00:00,-0.6092,-0.267737,-0.267948,-0.735187,-0.484237,0.491293,0.714517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34015192499999997,0.0,0.9069584827839265,-0.37822483333333323
2015-08-18 00:00:00+00:00,0.572179,-0.407911,-0.006112,-1.426348,-0.126809,-0.319051,-6.147329,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.8300509999999999,0.05,0.9391271619622761,2.0576029166666667
2015-08-19 00:00:00+00:00,-0.272428,-0.223121,-0.366395,-1.308292,0.337807,-1.614441,1.225795,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4689496749999999,0.15,0.6143457284833881,0.052468083333333415
2015-08-20 00:00:00+00:00,-1.753078,-2.141547,-1.881615,-1.771329,-1.440827,-0.935147,-3.421564,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.610526125,0.75,0.8567483434354748,-0.033196583333333196
2015-08-21 00:00:00+00:00,-2.058727,-2.339978,-0.555947,-1.528516,-0.869485,-2.983447,-4.272235,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.6052425750000001,0.175,0.6085120685792142,0.7618700833333334
2015-08-24 00:00:00+00:00,-3.189254,-2.949245,-2.829814,-5.167642,-5.915098,-4.605671,-8.490895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-5.3266803750000005,1.0,1.9417900095812932,3.055388833333334
2015-08-25 00:00:00+00:00,-5.345083,-4.702345,-4.667328,0.721785,0.918174,-3.958757,-7.630693,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-0.8760952000000001,0.30000000000000004,1.935140254361335,-2.417545916666667
2015-08-26 00:00:00+00:00,4.138281,4.971694,3.0921,-1.516332,-1.127439,3.201777,-1.270805,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.10679452500000006,0.25,2.0110105643920804,4.245558083333334
